VECTOR,OCCURRENCE_ID,SOURCE_TYPE,LOCATION_TYPE,POLYGON_ADMIN,Y,X,YEAR,COUNTRY,COUNTRY_ID,GAUL_AD0,STATUS
Aedes aegypti,1,published,point,-999,-3.22,40.07,1958,Kenya,KEN,133,NA
Aedes aegypti,2,published,point,-999,-4.27,15.3,1960,Congo,COG,59,NA
Aedes aegypti,3,published,point,-999,-4.27,15.3,1960,Congo,COG,59,NA
Aedes aegypti,4,published,point,-999,-3.22,40.07,1960,Kenya,KEN,133,NA
Aedes aegypti,5,published,point,-999,-3.04,40.14,1960,Kenya,KEN,133,NA
Aedes aegypti,6,published,point,-999,0.18,32.5,1960,Uganda,UGA,253,NA
Aedes aegypti,7,published,point,-999,4.63,-74.09,1960,Colombia,COL,57,NA
Aedes aegypti,8,published,point,-999,6.01,1.05,1960,Ghana,GHA,94,NA
Aedes aegypti,9,published,point,-999,6.49,3.37,1960,Nigeria,NGA,182,NA
Aedes aegypti,10,published,point,-999,10.34,-67.04,1960,Venezuela,VEN,263,NA
Aedes aegypti,11,unpublished,polygon,2,25.49,-80.99,1960,United States of America,USA,259,NA
Aedes aegypti,12,unpublished,polygon,2,26.12,-81.33,1960,United States of America,USA,259,NA
Aedes aegypti,13,unpublished,polygon,2,26.13,-97.55,1960,United States of America,USA,259,NA
Aedes aegypti,14,unpublished,polygon,2,26.15,-80.49,1960,United States of America,USA,259,NA
Aedes aegypti,15,unpublished,polygon,2,26.4,-98.19,1960,United States of America,USA,259,NA
Aedes aegypti,16,unpublished,polygon,2,26.47,-97.68,1960,United States of America,USA,259,NA
Aedes aegypti,17,unpublished,polygon,2,26.55,-81.17,1960,United States of America,USA,259,NA
Aedes aegypti,18,unpublished,polygon,2,26.57,-98.75,1960,United States of America,USA,259,NA
Aedes aegypti,19,unpublished,polygon,2,26.58,-81.8,1960,United States of America,USA,259,NA
Aedes aegypti,20,unpublished,polygon,2,26.65,-80.48,1960,United States of America,USA,259,NA
Aedes aegypti,21,unpublished,polygon,2,26.91,-81.89,1960,United States of America,USA,259,NA
Aedes aegypti,22,unpublished,polygon,2,26.93,-97.73,1960,United States of America,USA,259,NA
Aedes aegypti,23,unpublished,polygon,2,26.96,-81.18,1960,United States of America,USA,259,NA
Aedes aegypti,24,unpublished,polygon,2,27.04,-98.23,1960,United States of America,USA,259,NA
Aedes aegypti,25,unpublished,polygon,2,27.05,-98.71,1960,United States of America,USA,259,NA
Aedes aegypti,26,unpublished,polygon,2,27.07,-80.45,1960,United States of America,USA,259,NA
Aedes aegypti,27,unpublished,polygon,2,27.18,-82.32,1960,United States of America,USA,259,NA
Aedes aegypti,28,unpublished,polygon,2,27.18,-81.81,1960,United States of America,USA,259,NA
Aedes aegypti,29,unpublished,polygon,2,27.34,-81.34,1960,United States of America,USA,259,NA
Aedes aegypti,30,unpublished,polygon,2,27.38,-80.49,1960,United States of America,USA,259,NA
Aedes aegypti,31,unpublished,polygon,2,27.39,-80.89,1960,United States of America,USA,259,NA
Aedes aegypti,32,unpublished,polygon,2,27.47,-82.3,1960,United States of America,USA,259,NA
