state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,2,0
Arizona,1,0
Arkansas,2,0
California,40,0
Colorado,2,0
Connecticut,1,0
Delaware,3,0
District of Columbia,4,0
Florida,103,0
Georgia,13,0
Hawaii,7,0
Illinois,16,0
Indiana,6,0
Iowa,5,0
Kansas,1,0
Kentucky,5,0
Louisiana,4,0
Maine,3,0
Maryland,16,0
Massachusetts,10,0
Michigan,3,0
Minnesota,17,0
Mississippi,3,0
Missouri,3,0
Montana,1,0
Nebraska,2,0
Nevada,2,0
New Hampshire,3,0
New Jersey,12,0
New Mexico,1,0
New York,98,0
North Carolina,11,0
Ohio,12,0
Oklahoma,4,0
Oregon,6,0
Pennsylvania,18,0
Rhode Island,2,0
South Carolina,1,0
Tennessee,2,0
Texas,32,0
Utah,2,0
Vermont,1,0
Virginia,15,0
Washington,2,0
West Virginia,6,0
American Samoa,0,14
Puerto Rico,2,669
US Virgin Islands,1,15
