state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,24,0
Arizona,29,0
Arkansas,10,0
California,224,0
Colorado,32,0
Connecticut,58,0
Delaware,11,0
District of Columbia,17,0
Florida,596,43
Georgia,78,0
Hawaii,12,0
Idaho,3,0
Illinois,58,0
Indiana,32,0
Iowa,16,0
Kansas,13,0
Kentucky,23,0
Louisiana,29,0
Maine,11,0
Maryland,95,0
Massachusetts,67,0
Michigan,52,0
Minnesota,47,0
Mississippi,21,0
Missouri,26,0
Montana,7,0
Nebraska,8,0
Nevada,14,0
New Hampshire,8,0
New Jersey,116,0
New Mexico,6,0
New York,685,0
North Carolina,61,0
North Dakota,1,0
Ohio,36,0
Oklahoma,26,0
Oregon,23,0
Pennsylvania††,102,0
Rhode Island,29,0
South Carolina,31,0
South Dakota,1,0
Tennessee,39,0
Texas,181,0
Utah,11,0
Vermont,7,0
Virginia,81,0
Washington,34,0
West Virginia,11,0
Wisconsin,29,0
Wyoming,2,0
American Samoa,0,47
Puerto Rico,64,17315
US Virgin Islands,1,265
