sivigila_code,department,municipality,zika_confirmed_laboratory,zika_confirmed_clinic,zika_suspected,zika_total
05000,ANTIOQUIA,* ANTIOQUIA. MUNICIPIO DESCONOCIDO,3,0,6,9
05001,ANTIOQUIA,MEDELLIN,43,144,0,187
05002,ANTIOQUIA,ABEJORRAL,0,0,2,2
05004,ANTIOQUIA,ABRIAQUI,0,0,0,0
05021,ANTIOQUIA,ALEJANDRIA,0,0,0,0
05030,ANTIOQUIA,AMAGA,0,0,1,1
05031,ANTIOQUIA,AMALFI,0,0,0,0
05034,ANTIOQUIA,ANDES,0,0,0,0
05036,ANTIOQUIA,ANGELOPOLIS,0,0,2,2
05038,ANTIOQUIA,ANGOSTURA,0,0,0,0
05040,ANTIOQUIA,ANORI,0,0,0,0
05042,ANTIOQUIA,SANTAFE DE ANTIOQUIA,0,0,13,13
05044,ANTIOQUIA,ANZA,0,0,0,0
05045,ANTIOQUIA,APARTADO,3,179,0,182
05051,ANTIOQUIA,ARBOLETES,2,11,0,13
05055,ANTIOQUIA,ARGELIA,0,0,0,0
05059,ANTIOQUIA,ARMENIA,0,0,2,2
05079,ANTIOQUIA,BARBOSA,0,0,2,2
05086,ANTIOQUIA,BELMIRA,0,0,0,0
05088,ANTIOQUIA,BELLO,6,16,0,22
05091,ANTIOQUIA,BETANIA,0,0,0,0
05093,ANTIOQUIA,BETULIA,0,0,0,0
05101,ANTIOQUIA,CIUDAD BOLIVAR,3,4,0,7
05107,ANTIOQUIA,BRICEÑO,0,0,0,0
05113,ANTIOQUIA,BURITICA,0,0,0,0
05120,ANTIOQUIA,CACERES,0,0,44,44
05125,ANTIOQUIA,CAICEDO,0,0,0,0
05129,ANTIOQUIA,CALDAS,1,2,0,3
05134,ANTIOQUIA,CAMPAMENTO,0,0,0,0
05138,ANTIOQUIA,CAÑASGORDAS,2,0,0,2
05142,ANTIOQUIA,CARACOLI,0,0,1,1
05145,ANTIOQUIA,CARAMANTA,0,0,0,0
05147,ANTIOQUIA,CAREPA,0,0,51,51
05148,ANTIOQUIA,EL CARMEN DE VIBORAL,0,0,2,2
05150,ANTIOQUIA,CAROLINA,0,0,0,0
05154,ANTIOQUIA,CAUCASIA,4,54,0,58
05172,ANTIOQUIA,CHIGORODO,1,111,0,112
05190,ANTIOQUIA,CISNEROS,0,0,0,0
05197,ANTIOQUIA,COCORNA,0,0,0,0
05206,ANTIOQUIA,CONCEPCION,0,0,0,0
05209,ANTIOQUIA,CONCORDIA,0,0,0,0
05212,ANTIOQUIA,COPACABANA,0,0,1,1
05234,ANTIOQUIA,DABEIBA,0,0,3,3
05237,ANTIOQUIA,DON MATIAS,0,0,0,0
05240,ANTIOQUIA,EBEJICO,0,0,3,3
05250,ANTIOQUIA,EL BAGRE,1,1,0,2
05264,ANTIOQUIA,ENTRERRIOS,0,0,0,0
05266,ANTIOQUIA,ENVIGADO,0,0,8,8
05282,ANTIOQUIA,FREDONIA,0,0,2,2
05284,ANTIOQUIA,FRONTINO,0,0,0,0
05306,ANTIOQUIA,GIRALDO,0,0,0,0
05308,ANTIOQUIA,GIRARDOTA,1,0,0,1
05310,ANTIOQUIA,GOMEZ PLATA,0,0,0,0
05313,ANTIOQUIA,GRANADA,0,0,2,2
05315,ANTIOQUIA,GUADALUPE,0,0,0,0
05318,ANTIOQUIA,GUARNE,0,0,0,0
05321,ANTIOQUIA,GUATAPE,0,0,3,3
05347,ANTIOQUIA,HELICONIA,0,0,0,0
05353,ANTIOQUIA,HISPANIA,1,0,0,1
05360,ANTIOQUIA,ITAGUI,4,16,0,20
05361,ANTIOQUIA,ITUANGO,0,0,1,1
05364,ANTIOQUIA,JARDIN,0,0,0,0
05368,ANTIOQUIA,JERICO,0,0,0,0
05376,ANTIOQUIA,LA CEJA,0,0,0,0
05380,ANTIOQUIA,LA ESTRELLA,0,0,2,2
05390,ANTIOQUIA,LA PINTADA,0,0,1,1
05400,ANTIOQUIA,LA UNION,0,0,1,1
05411,ANTIOQUIA,LIBORINA,0,0,1,1
05425,ANTIOQUIA,MACEO,3,0,0,3
05440,ANTIOQUIA,MARINILLA,0,0,0,0
05467,ANTIOQUIA,MONTEBELLO,0,0,0,0
05475,ANTIOQUIA,MURINDO,0,0,0,0
05480,ANTIOQUIA,MUTATA,1,18,0,19
05483,ANTIOQUIA,NARIÑO,0,0,3,3
05490,ANTIOQUIA,NECOCLI,1,22,0,23
05495,ANTIOQUIA,NECHI,0,0,17,17
05501,ANTIOQUIA,OLAYA,0,0,2,2
05541,ANTIOQUIA,PEÐOL,0,0,0,0
05543,ANTIOQUIA,PEQUE,0,0,0,0
05576,ANTIOQUIA,PUEBLORRICO,0,0,0,0
05579,ANTIOQUIA,PUERTO BERRIO,0,0,45,45
05585,ANTIOQUIA,PUERTO NARE,1,2,0,3
05591,ANTIOQUIA,PUERTO TRIUNFO,1,24,0,25
05604,ANTIOQUIA,REMEDIOS,0,0,0,0
05607,ANTIOQUIA,RETIRO,0,0,0,0
05615,ANTIOQUIA,RIONEGRO,1,1,0,2
05628,ANTIOQUIA,SABANALARGA,0,0,2,2
05631,ANTIOQUIA,SABANETA,0,0,3,3
05642,ANTIOQUIA,SALGAR,0,0,1,1
05647,ANTIOQUIA,SAN ANDRES DE CUERQUIA,0,0,3,3
05649,ANTIOQUIA,SAN CARLOS,1,0,0,1
05652,ANTIOQUIA,SAN FRANCISCO,0,0,1,1
05656,ANTIOQUIA,SAN JERONIMO,0,0,1,1
05658,ANTIOQUIA,SAN JOSE DE LA MONTAÑA,0,0,0,0
05659,ANTIOQUIA,SAN JUAN DE URABA,0,0,7,7
05660,ANTIOQUIA,SAN LUIS,3,1,0,4
05664,ANTIOQUIA,SAN PEDRO,0,0,2,2
05665,ANTIOQUIA,SAN PEDRO DE URABA,0,0,10,10
05667,ANTIOQUIA,SAN RAFAEL,0,0,1,1
05670,ANTIOQUIA,SAN ROQUE,0,0,3,3
05674,ANTIOQUIA,SAN VICENTE,0,0,0,0
05679,ANTIOQUIA,SANTA BARBARA,0,0,0,0
05686,ANTIOQUIA,SANTA ROSA DE OSOS,0,0,0,0
05690,ANTIOQUIA,SANTO DOMINGO,0,0,0,0
05697,ANTIOQUIA,EL SANTUARIO,0,0,0,0
05736,ANTIOQUIA,SEGOVIA,0,0,0,0
05756,ANTIOQUIA,SONSON,0,0,0,0
05761,ANTIOQUIA,SOPETRAN,0,0,7,7
05789,ANTIOQUIA,TAMESIS,0,0,0,0
05790,ANTIOQUIA,TARAZA,1,6,0,7
05792,ANTIOQUIA,TARSO,0,0,0,0
05809,ANTIOQUIA,TITIRIBI,0,0,0,0
05819,ANTIOQUIA,TOLEDO,0,0,1,1
05837,ANTIOQUIA,TURBO,1,189,0,190
