country,areas,current_zika_transmission
American Samoa,,Areas with interrupted transmission (WHO cat. 3)
Angola,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Anguilla,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Antigua and Barbuda,Areas with virus transmission following virus new/re introduction (WHO cat. 1),
Argentina,Argentina,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Argentina,Tucuman,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Argentina,Formosa,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Argentina,Salta,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
​Argentina,​Chaco,​Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Aruba,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Bahamas,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Bangladesh,,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Barbados,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Belize,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Bolivia,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
"Bonaire, Sint Eustatius and Saba",Bonaire,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
"Bonaire, Sint Eustatius and Saba",Saba,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
"Bonaire, Sint Eustatius and Saba",Sint Eustatius,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Rio De Janeiro,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Maranhao,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Bahia,WHO cat. 2 areas with new documented intense transmission
Brazil,Rio Grande Do Norte,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Alagoas,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Amazonas,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Ceara,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Espirito Santo,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Mato Grosso,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Para,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Paraiba,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Parana,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Pernambuco,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Rondonia,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Roraima,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Sao Paulo,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Tocantins,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Piaui,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Goias,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Rio Grande Do Sul,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Acre,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Distrito Federal,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Mato Grosso Do Sul,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Minas Gerais,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Santa Catarina,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Sergipe,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Amapa,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Brazil,Brazil,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
British Virgin Islands,Areas with virus transmission following virus new/re introduction (WHO cat. 1),
Burkina Faso,,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Burundi,,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Cambodia,,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Cameroon,,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Cape Verde,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Cayman Islands,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Central African Republic,Areas with virus transmission following previous virus circulation (WHO cat. 2),
Chile,Easter Island,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Colombia,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Cook Islands,,Areas with interrupted transmission (WHO cat. 3)
Costa Rica,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Côte d'Ivoire,,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Cuba,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Curaçao,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Dominica,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Dominican Republic,Areas with virus transmission following virus new/re introduction (WHO cat. 1),
Ecuador,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
El Salvador,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Fiji,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
France,Martinique,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
France,Guyane,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Gabon,,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Grenada,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Guadeloupe,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Guatemala,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Guinea-Bissau,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Guyana,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Haiti,,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Honduras,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Indonesia,Indonesia,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Indonesia,Nangroe Aceh Darussalam,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Bali,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Bengkulu,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Daerah Istimewa Yogyakarta,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Dki Jakarta,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Jambi,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Jawa Tengah,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Jawa Timur,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Kalimantan Barat,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Kalimantan Selatan,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Kalimantan Tengah,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Kalimantan Timur,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Lampung,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Nusatenggara Barat,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Nusatenggara Timur,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Sulawesi Tengah,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Sulawesi Tenggara,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Sumatera Barat,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Sumatera Utara,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Bangka Belitung,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Banten,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Gorontalo,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Papua Barat,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Jawa Barat,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Kepulauan-riau,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Maluku,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Maluku Utara,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Papua,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Riau,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Sulawesi Barat,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Sulawesi Selatan,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Sulawesi Utara,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Indonesia,Sumatera Selatan,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Jamaica,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Lao People's Democratic Republic,Areas with virus transmission following previous virus circulation (WHO cat. 2),
Malaysia,,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Maldives,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Marshall Islands,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
