Country / territory,Measure Names,Month of Date,Report Epi Week,Year of Date,Country / territory,Date,Measure Values,Laboratory confirmed cases,Suspected cases
Aruba,Suspected,January,1,2016,Aruba,"January, 2016",0,0,0
Aruba,Confirmed ,January,1,2016,Aruba,"January, 2016",0,0,0
Aruba,Suspected,January,2,2016,Aruba,"January, 2016",0,0,0
Aruba,Confirmed ,January,2,2016,Aruba,"January, 2016",0,0,0
Aruba,Suspected,January,3,2016,Aruba,"January, 2016",0,0,0
Aruba,Confirmed ,January,3,2016,Aruba,"January, 2016",0,0,0
Aruba,Suspected,January,4,2016,Aruba,"January, 2016",0,0,0
Aruba,Confirmed ,January,4,2016,Aruba,"January, 2016",0,0,0
Barbados,Suspected,January,1,2016,Barbados,"January, 2016",0,3,0
Barbados,Confirmed ,January,1,2016,Barbados,"January, 2016",3,3,0
Barbados,Suspected,January,2,2016,Barbados,"January, 2016",0,0,0
Barbados,Confirmed ,January,2,2016,Barbados,"January, 2016",0,0,0
Barbados,Suspected,January,3,2016,Barbados,"January, 2016",0,0,0
Barbados,Confirmed ,January,3,2016,Barbados,"January, 2016",0,0,0
Barbados,Suspected,January,4,2016,Barbados,"January, 2016",0,0,0
Barbados,Confirmed ,January,4,2016,Barbados,"January, 2016",0,0,0
Bolivia,Suspected,January,1,2016,Bolivia,"January, 2016",0,0,0
Bolivia,Confirmed ,January,1,2016,Bolivia,"January, 2016",0,0,0
Bolivia,Suspected,January,2,2016,Bolivia,"January, 2016",0,1,0
Bolivia,Confirmed ,January,2,2016,Bolivia,"January, 2016",1,1,0
Bolivia,Suspected,January,3,2016,Bolivia,"January, 2016",0,0,0
Bolivia,Confirmed ,January,3,2016,Bolivia,"January, 2016",0,0,0
Bolivia,Suspected,January,4,2016,Bolivia,"January, 2016",0,0,0
Bolivia,Confirmed ,January,4,2016,Bolivia,"January, 2016",0,0,0
Bonaire,Suspected,January,1,2016,Bonaire,"January, 2016",0,0,0
Bonaire,Confirmed ,January,1,2016,Bonaire,"January, 2016",0,0,0
Bonaire,Suspected,January,2,2016,Bonaire,"January, 2016",0,0,0
Bonaire,Confirmed ,January,2,2016,Bonaire,"January, 2016",0,0,0
Bonaire,Suspected,January,3,2016,Bonaire,"January, 2016",0,0,0
Bonaire,Confirmed ,January,3,2016,Bonaire,"January, 2016",0,0,0
Bonaire,Suspected,January,4,2016,Bonaire,"January, 2016",0,0,0
Bonaire,Confirmed ,January,4,2016,Bonaire,"January, 2016",0,0,0
Brazil,Suspected,January,1,2016,Brazil,"January, 2016",0,0,0
Brazil,Confirmed ,January,1,2016,Brazil,"January, 2016",0,0,0
Brazil,Suspected,January,2,2016,Brazil,"January, 2016",0,0,0
Brazil,Confirmed ,January,2,2016,Brazil,"January, 2016",0,0,0
Brazil,Suspected,January,3,2016,Brazil,"January, 2016",0,0,0
Brazil,Confirmed ,January,3,2016,Brazil,"January, 2016",0,0,0
Brazil,Suspected,January,4,2016,Brazil,"January, 2016",0,0,0
Brazil,Confirmed ,January,4,2016,Brazil,"January, 2016",0,0,0
Colombia,Suspected,January,1,2016,Colombia,"January, 2016","1,789",30,"1,789"
Colombia,Confirmed ,January,1,2016,Colombia,"January, 2016",30,30,"1,789"
Colombia,Suspected,January,2,2016,Colombia,"January, 2016","2,866",22,"2,866"
Colombia,Confirmed ,January,2,2016,Colombia,"January, 2016",22,22,"2,866"
Colombia,Suspected,January,3,2016,Colombia,"January, 2016","3,626",252,"3,626"
Colombia,Confirmed ,January,3,2016,Colombia,"January, 2016",252,252,"3,626"
Colombia,Suspected,January,4,2016,Colombia,"January, 2016","5,067",281,"5,067"
Colombia,Confirmed ,January,4,2016,Colombia,"January, 2016",281,281,"5,067"
Costa Rica,Suspected,January,1,2016,Costa Rica,"January, 2016",0,0,0
Costa Rica,Confirmed ,January,1,2016,Costa Rica,"January, 2016",0,0,0
Costa Rica,Suspected,January,2,2016,Costa Rica,"January, 2016",0,0,0
Costa Rica,Confirmed ,January,2,2016,Costa Rica,"January, 2016",0,0,0
Costa Rica,Suspected,January,3,2016,Costa Rica,"January, 2016",0,0,0
Costa Rica,Confirmed ,January,3,2016,Costa Rica,"January, 2016",0,0,0
Costa Rica,Suspected,January,4,2016,Costa Rica,"January, 2016",0,1,0
Costa Rica,Confirmed ,January,4,2016,Costa Rica,"January, 2016",1,1,0
Curacao,Suspected,January,1,2016,Curacao,"January, 2016",0,0,0
Curacao,Confirmed ,January,1,2016,Curacao,"January, 2016",0,0,0
Curacao,Suspected,January,2,2016,Curacao,"January, 2016",0,0,0
Curacao,Confirmed ,January,2,2016,Curacao,"January, 2016",0,0,0
Curacao,Suspected,January,3,2016,Curacao,"January, 2016",0,0,0
